mtCode,l1Label,l2Label,l3Label,l4Label,l5Label,l6Label,l7Label
2.55,Environmental sciences,Environmental chemistry,,,,,
2.55,Natural heritage,Nature conservation,,,,,
2.55,Natural heritage,Nature conservation,Forest conservation,,,,
2.55,Natural heritage,Nature conservation,Landscape protection,,,,
2.55,Natural heritage,Nature conservation,Nature reserves,,,,
2.55,Natural heritage,Nature conservation,Nature reserves,Botanical gardens,,,
2.55,Natural heritage,Nature conservation,Nature reserves,National parks,,,
2.55,Natural heritage,Nature conservation,Nature reserves,Zoological gardens,,,
2.55,Natural heritage,Nature conservation,Transboundary protected areas,,,,
2.55,Natural heritage,Nature conservation,Wildlife conservation,,,,
2.55,Resources development,Resources conservation,,,,,
2.55,Resources development,Resources evaluation,,,,,
2.55,Resources development,Resources exploration,,,,,
2.55,Resources development,Resources management,,,,,
2.60,Climate change adaptation,,,,,,
2.60,Dangerous materials,,,,,,
2.60,Disaster relief,Education in emergencies,,,,,
2.60,Disasters,Accidents,,,,,
2.60,Disasters,Accidents,Fires,,,,
2.60,Disasters,Accidents,Fires,Forest fires,,,
2.60,Disasters,Damage,,,,,
2.60,Disasters,Epidemics,,,,,
2.60,Disasters,Epidemics,Pandemics,,,,
2.60,Disasters,Manmade disasters,,,,,
2.60,Disasters,Manmade disasters,Nuclear explosions,,,,
2.60,Disasters,Natural hazards,,,,,
2.60,Disasters,Natural hazards,Drought,,,,
2.60,Disasters,Natural hazards,Earthquakes,,,,
2.60,Disasters,Natural hazards,Floods,,,,
2.60,Disasters,Natural hazards,Landslides,,,,
2.60,Disasters,Natural hazards,Landslides,Avalanches,,,
2.60,Disasters,Natural hazards,Tsunami,,,,
2.60,Disasters,Natural hazards,Volcanic eruptions,,,,
2.60,Environmental degradation,Climate change,,,,,
2.60,Environmental degradation,Human activities effects,,,,,
2.60,Environmental degradation,Human activities effects,Global warming,,,,
2.60,Environmental degradation,Human activities effects,Ozone depletion,,,,
2.60,Environmental degradation,Pollution,,,,,
2.60,Environmental degradation,Pollution,Air pollution,,,,
2.60,Environmental degradation,Pollution,Air pollution,Acid rain,,,
2.60,Environmental degradation,Pollution,Industrial pollution,,,,
2.60,Environmental degradation,Pollution,Noise pollution,,,,
2.60,Environmental degradation,Pollution,Oil pollution,,,,
2.60,Environmental degradation,Pollution,Radioactive pollution,,,,
2.60,Environmental degradation,Pollution,Soil pollution,,,,
2.60,Environmental degradation,Pollution,Water pollution,,,,
2.60,Environmental degradation,Pollution,Water pollution,Eutrophication,,,
2.60,Environmental degradation,Pollution,Water pollution,Marine pollution,,,
2.60,Environmental degradation,Pollution,Water pollution,Waste water,,,
2.60,Environmental degradation,Soil degradation,,,,,
2.60,Environmental degradation,Soil degradation,Desertification,,,,
2.60,Pollutants,Wastes,,,,,
2.60,Pollutants,Wastes,Agricultural wastes,,,,
2.60,Pollutants,Wastes,Radioactive wastes,,,,
2.60,Safety,Disaster risk reduction,,,,,
2.60,Safety,Disaster risk reduction,Drought control,,,,
2.60,Safety,Disaster risk reduction,Earthquake prediction,,,,
2.60,Safety,Disaster risk reduction,Flood control,,,,
2.60,Safety,Safety measures,,,,,
2.60,Safety,Safety measures,Accident prevention,,,,
2.60,Safety,Safety measures,Fire protection,,,,
2.60,Safety,Safety measures,Radiation protection,,,,
2.60,Safety,Transport safety,,,,,
2.65,Ecosystems,Animal ecology,,,,,
2.65,Ecosystems,Animal ecology,Animal behaviour,,,,
2.65,Ecosystems,Animal ecology,Animal migration,,,,
2.65,Ecosystems,Aquatic ecosystems,,,,,
2.65,Ecosystems,Aquatic ecosystems,Ecosystem services,,,,
2.65,Ecosystems,Aquatic ecosystems,Marine ecosystems,,,,
2.65,Ecosystems,Aquatic ecosystems,Marine ecosystems,Mangrove areas,,,
2.65,Ecosystems,Biosphere,,,,,
2.65,Ecosystems,Biosphere,Biomass,,,,
2.65,Ecosystems,Biosphere,Biomes,,,,
2.65,Ecosystems,Biosphere,Biosphere reserves,,,,
2.65,Ecosystems,Ecological balance,,,,,
2.65,Ecosystems,Ecological balance,Biodiversity,,,,
2.65,Ecosystems,Ecological balance,Biological adaptation,,,,
2.65,Ecosystems,Ecological balance,Ecological crisis,,,,
2.65,Ecosystems,Human ecology,,,,,
2.65,Ecosystems,Plant ecology,,,,,
2.65,Ecosystems,Terrestrial ecosystems,,,,,
2.65,Energy resources,Electric power,,,,,
2.65,Energy resources,Nonrenewable energy sources,,,,,
2.65,Energy resources,Nonrenewable energy sources,Fuel resources,,,,
2.65,Energy resources,Nonrenewable energy sources,Fuel resources,Coal resources,,,
2.65,Energy resources,Nonrenewable energy sources,Fuel resources,Gas resources,,,
2.65,Energy resources,Nonrenewable energy sources,Nuclear energy,,,,
2.65,Energy resources,Nonrenewable energy sources,Petroleum resources,,,,
2.65,Energy resources,Renewable energy sources,,,,,
2.65,Energy resources,Renewable energy sources,Biogas,,,,
2.65,Energy resources,Renewable energy sources,Biomass energy,,,,
2.65,Energy resources,Renewable energy sources,Hydroelectric power,,,,
2.65,Energy resources,Renewable energy sources,Hydroelectric power,Tidal energy,,,
2.65,Energy resources,Renewable energy sources,Solar energy,,,,
2.65,Energy resources,Renewable energy sources,Steam power,,,,
2.65,Energy resources,Renewable energy sources,Thermal energy,,,,
2.65,Energy resources,Renewable energy sources,Thermal energy,Geothermal energy,,,
2.65,Energy resources,Renewable energy sources,Wind power,,,,
2.65,Natural resources,Animal resources,,,,,
2.65,Natural resources,Animal resources,Fishery resources,,,,
2.65,Natural resources,Endangered species,,,,,
2.65,Natural resources,Food resources,,,,,
2.65,Natural resources,Food resources,Food consumption,,,,
2.65,Natural resources,Food resources,Food shortages,,,,
2.65,Natural resources,Food resources,Food supply,,,,
2.65,Natural resources,Land resources,,,,,
2.65,Natural resources,Land resources,Soil resources,,,,
2.65,Natural resources,Marine resources,,,,,
2.65,Natural resources,Marine resources,Marine mineral resources,,,,
2.65,Natural resources,Mineral resources,,,,,
2.65,Natural resources,Nonrenewable resources,,,,,
2.65,Natural resources,Plant resources,,,,,
2.65,Natural resources,Plant resources,Forest resources,,,,
2.65,Natural resources,Renewable resources,,,,,
2.70,Anatomy,Cardiovascular systems,,,,,
2.70,Anatomy,Digestive systems,,,,,
2.70,Anatomy,Endocrine systems,,,,,
2.70,Anatomy,Nervous systems,,,,,
2.70,Anatomy,Nervous systems,Brain,,,,
2.70,Anatomy,Nervous systems,Sensory systems,,,,
2.70,Anatomy,Nervous systems,Sensory systems,Eyesight,,,
2.70,Anatomy,Nervous systems,Sensory systems,Hearing,,,
2.70,Anatomy,Respiratory systems,,,,,
2.70,Biochemistry,Biochemicals,,,,,
2.70,Biochemistry,Biochemicals,Enzymes,,,,
2.70,Biochemistry,Biochemicals,Hormones,,,,
2.70,Biochemistry,Biochemicals,Proteins,,,,
2.70,Biochemistry,Biochemicals,Trace elements,,,,
2.70,Biochemistry,Biochemicals,Vitamins,,,,
2.70,Biochemistry,Biosynthesis,,,,,
2.70,Biochemistry,Metabolism,,,,,
2.70,Biochemistry,Phytochemistry,,,,,
2.70,Biochemistry,Phytochemistry,Photosynthesis,,,,
2.70,Biology,Bioethics,,,,,
2.70,Biology,Biological effects,,,,,
2.70,Biology,Biological research,,,,,
2.70,Biology,Biometrics,,,,,
2.70,Biology,Human biology,,,,,
2.70,Biology,Hydrobiology,,,,,
2.70,Biology,Hydrobiology,Limnology,,,,
2.70,Biology,Neurobiology,,,,,
2.70,Biology,Radiobiology,,,,,
2.70,Biology,Space biology,,,,,
2.70,Biophysics,,,,,,
2.70,Cell biology,Cells,,,,,
2.70,Cell biology,Genome,,,,,
2.70,Cell biology,Genome,Genes,,,,
2.70,Cell biology,Genome,Genes,Chromosomes,,,
2.70,Genetics,Evolution,,,,,
2.70,Genetics,Evolution,Biogenesis,,,,
2.70,Genetics,Heredity,,,,,
2.70,Genetics,Heredity,Eugenics,,,,
2.70,Genetics,Human genetics,,,,,
2.70,Genetics,Mutation,,,,,
2.70,Genetics,Natural selection,,,,,
2.70,Life cycle,Ageing,,,,,
2.70,Life cycle,Birth,,,,,
2.70,Life cycle,Death,,,,,
2.70,Life cycle,Puberty,,,,,
2.70,Microbiology,Bacteriology,,,,,
2.70,Microbiology,Bacteriology,Microorganisms,,,,
2.70,Microbiology,Bacteriology,Microorganisms,Bacteria,,,
2.70,Microbiology,Bacteriology,Microorganisms,Viruses,,,
2.70,Microbiology,Virology,,,,,
2.70,Molecular biology,,,,,,
2.70,Physiology,Body temperature,,,,,
2.70,Physiology,Human physiology,,,,,
2.70,Physiology,Human reproduction,,,,,
2.70,Physiology,Human reproduction,Artificial procreation,,,,
2.70,Physiology,Human reproduction,Fertility,,,,
2.70,Physiology,Human reproduction,Pregnancy,,,,
2.70,Physiology,Nutrition,,,,,
2.70,Physiology,Nutrition,Breast feeding,,,,
2.70,Physiology,Nutrition,Calories,,,,
2.70,Physiology,Nutrition,Nutrients,,,,
2.70,Physiology,Physiological development,,,,,
2.70,Physiology,Physiological development,Embryology,,,,
2.70,Physiology,Physiological development,Embryology,Embryos,,,
2.70,Physiology,Physiological development,Motor development,,,,
2.70,Physiology,Physiological effects,,,,,
2.70,Physiology,Psychophysiology,,,,,
2.75,Anthropology,Prehistoric man,,,,,
2.75,Botany,Ethnobotany,,,,,
2.75,Botany,Phytogeography,,,,,
2.75,Botany,Plant diseases,,,,,
2.75,Botany,Plant genetics,,,,,
2.75,Botany,Plant nutrition,,,,,
2.75,Botany,Plant physiology,,,,,
2.75,Botany,Plant physiology,Plant transpiration,,,,
2.75,Botany,Plant taxonomy,,,,,
2.75,Botany,Vegetation,,,,,
2.75,Botany,Vegetation,Flora,,,,
2.75,Botany,Vegetation,Flora,Plants,,,
2.75,Botany,Vegetation,Flora,Plants,Aquatic plants,,
2.75,Botany,Vegetation,Flora,Plants,Aquatic plants,Marine algae,
2.75,Botany,Vegetation,Flora,Plants,Fungi,,
2.75,Botany,Vegetation,Flora,Plants,Medicinal plants,,
2.75,Botany,Vegetation,Flora,Plants,Trees,,
2.75,Botany,Vegetation,Vegetation maps,,,,
2.75,Life sciences,,,,,,
2.75,Natural history,,,,,,
2.75,Natural sciences,,,,,,
2.75,Species,Invasive species,,,,,
2.75,Zoology,Animal diseases,,,,,
2.75,Zoology,Animal genetics,,,,,
2.75,Zoology,Animal nutrition,,,,,
2.75,Zoology,Animal taxonomy,,,,,
2.75,Zoology,Animals,,,,,
2.75,Zoology,Animals,Aquatic animals,,,,
2.75,Zoology,Animals,Aquatic animals,Fish,,,
2.75,Zoology,Animals,Aquatic animals,Fish,Marine fish,,
2.75,Zoology,Animals,Aquatic animals,Fish,Shellfish,,
2.75,Zoology,Animals,Aquatic animals,Marine animals,,,
2.75,Zoology,Animals,Birds,,,,
2.75,Zoology,Animals,Domestic animals,,,,
2.75,Zoology,Animals,Fauna,,,,
2.75,Zoology,Animals,Insects,,,,
2.75,Zoology,Animals,Insects,Termites,,,
2.75,Zoology,Animals,Insects,Tsetse flies,,,
2.75,Zoology,Animals,Laboratory animals,,,,
2.75,Zoology,Animals,Mammals,,,,
2.75,Zoology,Animals,Mammals,Human species,,,
2.75,Zoology,Animals,Mammals,Primates,,,
2.75,Zoology,Animals,Mammals,Primates,Great apes,,
2.75,Zoology,Animals,Reptiles,,,,
2.75,Zoology,Animals,Wild animals,,,,
2.75,Zoology,Entomology,,,,,
2.75,Zoology,Ornithology,,,,,
2.75,Zoology,Zoogeography,,,,,
2.80,Health,Health economics,,,,,
2.80,Health,Health policy,,,,,
2.80,Health,Health policy,Disease control,,,,
2.80,Health,Health policy,Drug policy,,,,
2.80,Health,Health policy,Drug policy,Drug control,,,
2.80,Health,Health policy,Environmental health,,,,
2.80,Health,Health policy,Epidemiology,,,,
2.80,Health,Health policy,Food control,,,,
2.80,Health,Health policy,Maternal and child health,,,,
2.80,Health,Health policy,Womens health,,,,
2.80,Health,Health statistics,,,,,
2.80,Health,Hygiene,,,,,
2.80,Health,Mental health,,,,,
2.80,Medical profession,Medical ethics,,,,,
2.80,Medical profession,Medical personnel,,,,,
2.80,Medical profession,Medical personnel,Paramedical personnel,,,,
2.80,Medical profession,Medical personnel,Pharmacists,,,,
2.80,Medical profession,Medical personnel,Physicians,,,,
2.80,Medical research,Brain research,,,,,
2.80,Medical sciences,Aerospace medicine,,,,,
2.80,Medical sciences,Clinical medicine,,,,,
2.80,Medical sciences,Dentistry,,,,,
2.80,Medical sciences,Endocrinology,,,,,
2.80,Medical sciences,Forensic medicine,,,,,
2.80,Medical sciences,Gerontology,,,,,
2.80,Medical sciences,Neurology,,,,,
2.80,Medical sciences,Neuropsychology,,,,,
2.80,Medical sciences,Nursing,,,,,
2.80,Medical sciences,Occupational medicine,,,,,
2.80,Medical sciences,Ophthalmology,,,,,
2.80,Medical sciences,Pediatrics,,,,,
2.80,Medical sciences,Sports medicine,,,,,
2.80,Medical sciences,Surgery,,,,,
2.80,Medical sciences,Surgery,Organ transplantation,,,,
2.80,Medical sciences,Veterinary medicine,,,,,
2.80,Medical technology,Sensory aids,,,,,
2.80,Pharmacology,Drugs,,,,,
2.80,Pharmacology,Drugs,Narcotic drugs,,,,
2.80,Systems of medicine,Acupuncture,,,,,
2.80,Systems of medicine,Dietetics,,,,,
2.80,Systems of medicine,Homeopathy,,,,,
2.80,Systems of medicine,Preventive medicine,,,,,
2.80,Systems of medicine,Preventive medicine,Vaccination,,,,
2.80,Systems of medicine,Traditional medicine,,,,,
2.80,Therapy,Medical rehabilitation,,,,,
2.80,Therapy,Medical treatment,,,,,
2.80,Therapy,Speech therapy,,,,,
2.85,Immunology,,,,,,
2.85,Parasitology,,,,,,
2.85,Pathology,Disabilities,,,,,
2.85,Pathology,Disabilities,Blindness,,,,
2.85,Pathology,Disabilities,Blindness,Colour blindness,,,
2.85,Pathology,Disabilities,Deafness,,,,
2.85,Pathology,Disabilities,Deafness,Deaf dumbness,,,
2.85,Pathology,Diseases,,,,,
2.85,Pathology,Diseases,Albinism,,,,
2.85,Pathology,Diseases,Cancer,,,,
2.85,Pathology,Diseases,Cardiovascular diseases,,,,
2.85,Pathology,Diseases,Infectious diseases,,,,
2.85,Pathology,Diseases,Infectious diseases,Leprosy,,,
2.85,Pathology,Diseases,Infectious diseases,Malaria,,,
2.85,Pathology,Diseases,Infectious diseases,Venereal diseases,,,
2.85,Pathology,Diseases,Infectious diseases,Venereal diseases,AIDS,,
2.85,Pathology,Diseases,Nervous system diseases,,,,
2.85,Pathology,Diseases,Nervous system diseases,Speech disorders,,,
2.85,Pathology,Diseases,Nutritional diseases,,,,
2.85,Pathology,Diseases,Nutritional diseases,Obesity,,,
2.85,Pathology,Diseases,Occupational diseases,,,,
2.85,Pathology,Diseases,Skin diseases,,,,
2.85,Pathology,Diseases,Tropical diseases,,,,
2.85,Pathology,Diseases,Tropical diseases,Schistosomiasis,,,
2.85,Pathology,Diseases,Tropical diseases,Trypanosomiasis,,,
2.85,Pathology,Injuries,,,,,
2.85,Psychiatry,Clinical psychology,,,,,
2.85,Psychiatry,Clinical psychology,Psychoanalysis,,,,
2.85,Psychiatry,Clinical psychology,Psychotherapy,,,,
2.85,Psychiatry,Clinical psychology,Psychotherapy,Drug psychotherapy,,,
2.85,Psychiatry,Psychopathology,,,,,
2.85,Psychiatry,Psychopathology,Mental deficiency,,,,
2.85,Psychiatry,Psychopathology,Mental diseases,,,,
2.85,Psychiatry,Psychopathology,Mental diseases,Neuroses,,,
2.85,Psychiatry,Psychopathology,Mental diseases,Personality disorders,,,
2.85,Psychiatry,Psychopathology,Mental diseases,Personality disorders,Maladjustment,,
2.85,Psychiatry,Psychopathology,Mental diseases,Psychoses,,,
2.85,Toxicology,,,,,,
3.05,Cultural anthropology,,,,,,
3.05,Cultural change,Civilization crises,,,,,
3.05,Cultural change,Civilization crises,Cultural crises,,,,
3.05,Cultural change,Cultural dynamics,,,,,
3.05,Cultural change,Cultural innovations,,,,,
3.05,Cultural change,Cultural revolution,,,,,
3.05,Cultural conditions,Cultural environment,,,,,
3.05,Cultural conditions,Cultural factors,,,,,
3.05,Cultural conditions,Cultural life,,,,,
3.05,Cultural conditions,Cultural life,Everyday life,,,,
3.05,Cultural conditions,Cultural life,Life styles,,,,
3.05,Cultural creation,,,,,,
3.05,Cultural differentiation,Cultural discrimination,,,,,
3.05,Cultural differentiation,Cultural elite,,,,,
3.05,Cultural differentiation,Cultural inequality,,,,,
3.05,Cultural differentiation,Cultural minorities,,,,,
3.05,Cultural identity,Acculturation,,,,,
3.05,Cultural identity,Cultural nationalism,,,,,
3.05,Cultural identity,Cultural nationalism,National identity,,,,
3.05,Cultural interaction,Cultural conflicts,,,,,
3.05,Cultural interaction,Cultural isolation,,,,,
3.05,Cultural research,Cross cultural analysis,,,,,
3.05,Cultural research,Cultural models,,,,,
3.05,Cultural research,Cultural studies,,,,,
3.05,Cultural systems,Contemporary culture,,,,,
3.05,Cultural systems,Countercultures,,,,,
3.05,Cultural systems,Cultural diversity,,,,,
3.05,Cultural systems,Cultural diversity,Biculturalism,,,,
3.05,Cultural systems,Cultural diversity,Multiculturalism,,,,
3.05,Cultural systems,Culture of peace,,,,,
3.05,Cultural systems,Culture of poverty,,,,,
3.05,Cultural systems,Culture of work,,,,,
3.05,Cultural systems,Disappearing cultures,,,,,
3.05,Cultural systems,Dominant cultures,,,,,
3.05,Cultural systems,Mass culture,,,,,
3.05,Cultural systems,Scientific culture,,,,,
3.05,Cultural systems,Subcultures,,,,,
3.05,Cultural systems,Traditional cultures,,,,,
3.05,Cultural systems,Universal culture,,,,,
3.05,Cultural systems,Working class cultures,,,,,
3.05,Culture,Civilization,,,,,
3.05,Culture,Cultural history,,,,,
3.05,Culture,Cultural philosophy,,,,,
3.05,Culture,Cultural sociology,,,,,
3.05,National cultures,African cultures,,,,,
3.05,National cultures,Amerindian cultures,,,,,
3.05,National cultures,Amerindian cultures,Aztecs,,,,
3.05,National cultures,Amerindian cultures,Incas,,,,
3.05,National cultures,Amerindian cultures,Mayas,,,,
3.05,National cultures,Arctic cultures,,,,,
3.05,National cultures,Asian cultures,,,,,
3.05,National cultures,Asian cultures,Central Asian cultures,,,,
3.05,National cultures,Caribbean cultures,,,,,
3.05,National cultures,European cultures,,,,,
3.05,National cultures,European cultures,Baltic cultures,,,,
3.05,National cultures,European cultures,Central European cultures,,,,
3.05,National cultures,European cultures,Iberian cultures,,,,
3.05,National cultures,European cultures,Slav cultures,,,,
3.05,National cultures,Islamic culture,,,,,
3.05,National cultures,Islamic culture,Arab culture,,,,
3.05,National cultures,Latin American cultures,,,,,
3.05,National cultures,North American cultures,,,,,
3.05,National cultures,Oceanic cultures,,,,,
3.10,Cultural action,Cultural activities,,,,,
3.10,Cultural action,Cultural animation,,,,,
3.10,Cultural administration,Cultural legislation,,,,,
3.10,Cultural administration,Cultural management,,,,,
3.10,Cultural administration,Cultural organizations,,,,,
3.10,Cultural heritage,Cultural property,,,,,
3.10,Cultural heritage,Cultural property,Movable cultural property,,,,
3.10,Cultural heritage,Documentary heritage,,,,,
3.10,Cultural heritage,Documentary heritage,Digital heritage,,,,
3.10,Cultural heritage,Industrial heritage,,,,,
3.10,Cultural personnel,Cultural agents,,,,,
3.10,Cultural personnel,Museum personnel,,,,,
3.10,Cultural personnel,Museum personnel,Museum curators,,,,
3.10,Cultural planning,Cultural programmes,,,,,
3.10,Cultural planning,Cultural statistics,,,,,
3.10,Cultural planning,Cultural statistics,Time budgets,,,,
3.10,Cultural planning,Economics of culture,,,,,
3.10,Cultural planning,Economics of culture,Art market,,,,
3.10,Cultural planning,Economics of culture,Cultural finance,,,,
3.10,Cultural planning,Economics of culture,Cultural finance,Cultural budgets,,,
3.10,Cultural planning,Economics of culture,Cultural finance,Cultural costs,,,
3.10,Cultural planning,Economics of culture,Cultural finance,Patronage of the arts,,,
3.10,Cultural planning,Economics of culture,Cultural needs,,,,
3.10,Cultural planning,Economics of culture,Culture and development,,,,
3.10,Cultural policy,Cultural cooperation,,,,,
3.10,Cultural policy,Cultural cooperation,Cultural agreements,,,,
3.10,Cultural policy,Cultural cooperation,Cultural exchange,,,,
3.10,Cultural policy,Cultural cooperation,Intellectual cooperation,,,,
3.10,Cultural policy,Cultural development,,,,,
3.10,Cultural policy,Cultural indicators,,,,,
3.10,Cultural policy,Cultural objectives,,,,,
3.10,Cultural policy,Cultural relations,,,,,
3.10,Cultural policy,Democratization of culture,,,,,
3.10,Cultural policy,Dissemination of culture,,,,,
3.10,Cultural property presentation,,,,,,
3.10,Cultural property preservation,Conservation techniques,,,,,
3.10,Cultural property preservation,Document preservation,,,,,
3.10,Cultural property preservation,Document preservation,Digital preservation,,,,
3.10,Cultural property preservation,Preservation of monuments,,,,,
3.10,Cultural property preservation,Preservation of works of art,,,,,
3.10,Cultural property preservation,Restoration,,,,,
3.10,Cultural property preservation,Restoration,Restoration of paintings,,,,
3.10,Cultural property restitution,,,,,,
3.10,Cultural resources,Cultural facilities,,,,,
3.10,Cultural resources,Cultural facilities,Cultural centres,,,,
3.10,Cultural resources,Cultural facilities,Cultural equipment,,,,
3.10,Cultural resources,Cultural industry,,,,,
3.10,Cultural users,Cultural behaviour,,,,,
3.10,Cultural users,Cultural behaviour,Cultural participation,,,,
3.10,Intangible cultural heritage,Anniversary celebrations,,,,,
3.10,Intangible cultural heritage,Cultural values,,,,,
3.10,Intangible cultural heritage,Customs and traditions,,,,,
3.10,Intangible cultural heritage,Customs and traditions,Fashion,,,,
3.10,Intangible cultural heritage,Customs and traditions,Feasts,,,,
3.10,Intangible cultural heritage,Customs and traditions,Food customs,,,,
3.10,Intangible cultural heritage,Customs and traditions,Hunting,,,,
3.10,Intangible cultural heritage,Customs and traditions,Masks,,,,
3.10,Intangible cultural heritage,Customs and traditions,Rites,,,,
3.10,Intangible cultural heritage,Customs and traditions,Rites,Excision,,,
3.10,Intangible cultural heritage,Customs and traditions,Rites,Initiation rites,,,
3.10,Intangible cultural heritage,Folklore,,,,,
3.10,Intangible cultural heritage,Oral tradition,,,,,
3.15,Epistemology,Belief,,,,,
3.15,Epistemology,Belief,Value judgment,,,,
3.15,Epistemology,Knowledge,,,,,
3.15,Epistemology,Knowledge,Sociology of knowledge,,,,
3.15,Epistemology,Knowledge,Structure of knowledge,,,,
3.15,Epistemology,Knowledge,Traditional knowledge,,,,
3.15,Ethics,Deontology,,,,,
3.15,Ethics,Moral concepts,,,,,
3.15,Ethics,Moral concepts,Responsibility,,,,
3.15,Ethics,Moral values,,,,,
3.15,Ethics,Moral values,Moral crises,,,,
3.15,Freemasonry,,,,,,
3.15,Metaphysics,Human nature,,,,,
3.15,Metaphysics,Ontology,,,,,
3.15,Philosophy,Ideologies,,,,,
3.15,Philosophy,Logic,,,,,
3.15,Philosophy,Philosophical schools,,,,,
3.15,Philosophy,Philosophical schools,Atheism,,,,
3.15,Philosophy,Philosophical schools,Determinism,,,,
3.15,Philosophy,Philosophical schools,Empiricism,,,,
3.15,Philosophy,Philosophical schools,Existentialism,,,,
3.15,Philosophy,Philosophical schools,Functionalism,,,,
3.15,Philosophy,Philosophical schools,Humanism,,,,
3.15,Philosophy,Philosophical schools,Idealism,,,,
3.15,Philosophy,Philosophical schools,Individualism,,,,
3.15,Philosophy,Philosophical schools,Materialism,,,,
3.15,Philosophy,Philosophical schools,Positivism,,,,
3.15,Philosophy,Philosophical schools,Rationalism,,,,
3.15,Philosophy,Philosophical schools,Structuralism,,,,
3.15,Philosophy,Philosophy of action,,,,,
3.15,Philosophy,Philosophy of mind,,,,,
3.20,Mysticism,Magic,,,,,
3.20,Mysticism,Magic,Witchcraft,,,,
3.20,Mysticism,Magic,Witchcraft,Voodoo,,,
3.20,Mysticism,Parapsychology,,,,,
3.20,Mysticism,Spiritualism,,,,,
3.20,Religion,Religious behaviour,,,,,
3.20,Religion,Religious conflicts,,,,,
3.20,Religion,Religious discrimination,,,,,
3.20,Religion,Religious experience,,,,,
3.20,Religion,Sociology of religion,,,,,
3.20,Religions,Ancient religions,,,,,
3.20,Religions,Ancient religions,Brahmanism,,,,
3.20,Religions,Ancient religions,Buddhism,,,,
3.20,Religions,Ancient religions,Christianity,,,,
3.20,Religions,Ancient religions,Christianity,Catholicism,,,
3.20,Religions,Ancient religions,Christianity,Protestantism,,,
3.20,Religions,Ancient religions,Confucianism,,,,
3.20,Religions,Ancient religions,Hinduism,,,,
3.20,Religions,Ancient religions,Islam,,,,
3.20,Religions,Ancient religions,Judaism,,,,
3.20,Religions,Ancient religions,Shamanism,,,,
3.20,Religions,Ancient religions,Taoism,,,,
3.20,Religions,Ancient religions,Zoroastrianism,,,,
3.20,Religions,Primitive religions,,,,,
3.20,Religions,Primitive religions,Animism,,,,
3.20,Religions,Religious sects,,,,,
3.20,Religious activities,Cults,,,,,
3.20,Religious activities,Missionary work,,,,,
3.20,Religious activities,Religious practice,,,,,
3.20,Religious activities,Religious practice,Pilgrimages,,,,
3.20,Religious activities,Religious reform,,,,,
3.20,Religious buildings,Churches,,,,,
3.20,Religious buildings,Mosques,,,,,
3.20,Religious buildings,Synagogues,,,,,
3.20,Religious buildings,Temples,,,,,
3.20,Religious groups,Christians,,,,,
3.20,Religious groups,Clergy,,,,,
3.20,Religious groups,Jews,,,,,
3.20,Religious groups,Moslems,,,,,
3.20,Religious groups,Religious leaders,,,,,
3.20,Religious groups,Saints,,,,,
3.20,Religious institutions,Church,,,,,
3.20,Religious institutions,Church,Church and State,,,,
3.20,Religious institutions,Religious communities,,,,,
3.20,Religious institutions,Religious communities,Religious minorities,,,,
3.20,Religious institutions,Religious movements,,,,,
3.20,Theology,Religious belief,,,,,
3.20,Theology,Religious doctrines,,,,,
3.25,Archaeology,Archaeological excavations,,,,,
3.25,Archaeology,Archaeological objects,,,,,
3.25,Archaeology,Archaeological sites,,,,,
3.25,Archaeology,Archaeological sociology,,,,,
3.25,Archaeology,Human remains,,,,,
3.25,Archaeology,Underwater archaeology,,,,,
3.25,Collective memory,,,,,,
3.25,Genealogy,,,,,,
3.25,Heraldry,Flags,,,,,
3.25,Historical periods,Ancient history,,,,,
3.25,Historical periods,Ancient history,Ancient civilizations,,,,
3.25,Historical periods,Ancient history,Ancient civilizations,Assyriology,,,
3.25,Historical periods,Ancient history,Ancient civilizations,Egyptology,,,
3.25,Historical periods,Ancient history,Antiquity,,,,
3.25,Historical periods,Contemporary history,,,,,
3.25,Historical periods,Medieval history,,,,,
3.25,Historical periods,Medieval history,Middle Ages,,,,
3.25,Historical periods,Modern history,,,,,
3.25,Historical periods,Prehistory,,,,,
3.25,Historical periods,Prehistory,Neolithic,,,,
3.25,Historical periods,Prehistory,Palaeolithic,,,,
3.25,History,Historical methods,,,,,
3.25,History,Historical methods,Chronology,,,,
3.25,History,Historical methods,Chronology,Dating,,,
3.25,History,Historical methods,Chronology,Dating,Archaeological dating,,
3.25,History,Historical methods,Chronology,Dating,Radiocarbon dating,,
3.25,History,Historical methods,Epigraphy,,,,
3.25,History,Historical methods,Historiography,,,,
3.25,History,Historical methods,Oral history,,,,
3.25,History,Historical methods,Palaeography,,,,
3.25,History,Historical research,,,,,
3.25,History,Historical sociology,,,,,
3.25,History,Philosophy of history,,,,,
3.25,History,Political history,,,,,
3.25,History,Social history,,,,,
3.25,National history,African history,,,,,
3.25,National history,American history,,,,,
3.25,National history,American history,Latin American history,,,,
3.25,National history,American history,North American history,,,,
3.25,National history,Arab history,,,,,
3.25,National history,Asian history,,,,,
3.25,National history,Byzantine history,,,,,
3.25,National history,European history,,,,,
3.25,Numismatics,,,,,,
3.25,Religious history,Mythology,,,,,
3.30,Language policy,Bilingualism,,,,,
3.30,Language policy,Bilingualism,Multilingualism,,,,
3.30,Language policy,Language barriers,,,,,
3.30,Language policy,Language minorities,,,,,
